timestamp,left_temp,left_vel,left_deg,left_voltage,left_current,left_power,left_torque,left_efficiency,right_temp,right_vel,right_deg,right_voltage,right_current,right_power,right_torque,right_efficiency,rotation_deg,autonSelector_deg,hTracker_deg,imu_heading,mfl_temp,mfl_vel,mfl_deg,mfl_voltage,mfl_current,mfl_power,mfl_torque,mfl_efficiency,mfl_overtemp,mfl_overcurrent,mbl_temp,mbl_vel,mbl_deg,mbl_voltage,mbl_current,mbl_power,mbl_torque,mbl_efficiency,mbl_overtemp,mbl_overcurrent,mfr_temp,mfr_vel,mfr_deg,mfr_voltage,mfr_current,mfr_power,mfr_torque,mfr_efficiency,mfr_overtemp,mfr_overcurrent,mbr_temp,mbr_vel,mbr_deg,mbr_voltage,mbr_current,mbr_power,mbr_torque,mbr_efficiency,mbr_overtemp,mbr_overcurrent,imu_rotation,imu_pitch,imu_roll
2412,42.500000,0.000000,0.000000,1.112000,0.051500,0.000000,0.005487,0.000000,40.000000,0.000000,0.000000,0.939500,0.046500,0.000000,0.005075,0.000000,0.000000,21474836.470000,21474836.470000,inf,40.000000,-0.000000,-0.000000,0.887000,0.049000,0.000000,0.005539,0.000000,0,0,45.000000,-0.000000,-0.000000,1.337000,0.054000,0.000000,0.005436,0.000000,0,0,40.000000,0.000000,0.000000,0.856000,0.042000,0.000000,0.004570,0.000000,0,0,40.000000,0.000000,0.000000,1.023000,0.051000,0.000000,0.005579,0.000000,0,0,inf,inf,inf
2544,42.500000,367.300000,0.425000,10.508500,2.400500,12.793177,0.332551,50.712792,40.000000,411.000000,0.463333,10.459500,2.393000,14.252716,0.331542,57.007148,0.444167,21474836.470000,21474836.470000,inf,40.000000,359.000000,0.423333,10.176000,2.361000,12.305152,0.327375,51.216971,0,1,45.000000,375.600000,0.426667,10.841000,2.440000,13.281203,0.337726,50.208614,0,1,40.000000,395.000000,0.460000,10.509000,2.451000,14.059416,0.339957,54.583649,0,1,40.000000,427.000000,0.466667,10.410000,2.335000,14.446015,0.323127,59.430647,0,0,inf,inf,inf
2656,42.500000,460.200000,1.146667,11.248000,1.704500,11.045380,0.229097,57.510558,40.000000,467.400000,1.230000,11.192500,1.730500,11.403004,0.233013,58.874585,1.188333,21474836.470000,21474836.470000,inf,40.000000,462.200000,1.143333,11.069000,1.924000,12.660546,0.261623,59.448235,0,0,45.000000,458.200000,1.150000,11.427000,1.485000,9.430215,0.196571,55.572881,0,0,40.000000,466.600000,1.230000,11.236000,1.725000,11.340057,0.232126,58.507884,0,0,40.000000,468.200000,1.230000,11.149000,1.736000,11.465952,0.233901,59.241286,0,0,inf,inf,inf
2767,42.500000,489.100000,2.053333,8.568500,0.400000,2.190714,0.042748,63.815971,40.000000,503.100000,2.185000,8.673500,0.448500,2.607882,0.049667,66.948614,2.119167,21474836.470000,21474836.470000,inf,40.000000,494.200000,2.046667,8.587000,0.421000,2.369503,0.045794,65.544125,0,0,45.000000,484.000000,2.060000,8.550000,0.379000,2.011925,0.039703,62.087818,0,0,40.000000,514.400000,2.186667,8.692000,0.401000,2.297866,0.042666,65.926601,0,0,40.000000,491.800000,2.183333,8.655000,0.496000,2.917897,0.056668,67.970627,0,0,inf,inf,inf
2878,42.500000,361.100000,2.836667,3.665000,0.000000,0.000000,0.000000,0.000000,40.000000,359.300000,2.970000,3.905500,0.000000,0.000000,0.000000,0.000000,2.903333,21474836.470000,21474836.470000,inf,40.000000,382.400000,2.833333,3.499000,0.000000,0.000000,0.000000,0.000000,0,0,45.000000,339.800000,2.840000,3.831000,0.000000,0.000000,0.000000,0.000000,0,0,40.000000,368.600000,2.980000,3.542000,0.000000,0.000000,0.000000,0.000000,0,0,40.000000,350.000000,2.960000,4.269000,0.000000,0.000000,0.000000,0.000000,0,0,inf,inf,inf
2989,42.500000,107.300000,3.275000,-0.856500,0.675000,1.043368,0.097409,100.000000,40.000000,86.000000,3.381667,-0.859500,0.546500,0.704585,0.078557,100.000000,3.328333,21474836.470000,21474836.470000,inf,40.000000,95.000000,3.276667,-0.875000,0.945000,1.362416,0.136974,100.000000,0,0,45.000000,119.600000,3.273333,-0.838000,0.405000,0.724319,0.057843,100.000000,0,0,40.000000,76.200000,3.386667,-0.875000,0.565000,0.648153,0.081241,100.000000,0,0,40.000000,95.800000,3.376667,-0.844000,0.528000,0.761016,0.075872,100.000000,0,0,inf,inf,inf
3100,42.500000,35.500000,3.328333,-1.414000,0.579500,0.309126,0.082366,37.307269,40.000000,-23.300000,3.405000,-1.444500,0.421000,0.144150,0.059063,23.698500,3.366667,21474836.470000,21474836.470000,inf,40.000000,37.000000,3.330000,-1.417000,0.709000,0.392636,0.101354,39.081754,0,0,45.000000,34.000000,3.326667,-1.411000,0.450000,0.225615,0.063379,35.532784,0,0,40.000000,-23.000000,3.410000,-1.460000,0.407000,0.137216,0.056981,23.091766,0,0,40.000000,-23.600000,3.400000,-1.429000,0.435000,0.151085,0.061145,24.305235,0,0,inf,inf,inf
3212,42.500000,-53.100000,3.231667,-1.044500,0.177500,0.135851,0.025049,36.101696,40.000000,-56.800000,3.306667,-1.066000,0.006500,0.000000,0.000000,0.000000,3.269167,21474836.470000,21474836.470000,inf,40.000000,-51.800000,3.230000,-1.060000,0.355000,0.271701,0.050097,72.203392,0,0,45.000000,-54.400000,3.233333,-1.029000,0.000000,0.000000,0.000000,0.000000,0,0,40.000000,-55.000000,3.310000,-1.066000,0.000000,0.000000,0.000000,0.000000,0,0,40.000000,-58.600000,3.303333,-1.066000,0.013000,0.000000,0.000000,0.000000,0,0,inf,inf,inf
3323,42.500000,-29.500000,3.158333,-0.480500,0.244000,0.108025,0.035334,45.454535,40.000000,-29.900000,3.233333,-0.496000,0.000000,0.000000,0.000000,0.000000,3.195833,21474836.470000,21474836.470000,inf,40.000000,-29.200000,3.156667,-0.487000,0.488000,0.216051,0.070669,90.909069,0,0,45.000000,-29.800000,3.160000,-0.474000,0.000000,0.000000,0.000000,0.000000,0,0,40.000000,-31.000000,3.236667,-0.505000,0.000000,0.000000,0.000000,0.000000,0,0,40.000000,-28.800000,3.230000,-0.487000,0.000000,0.000000,0.000000,0.000000,0,0,inf,inf,inf
3434,42.500000,-14.000000,3.125000,-0.157000,0.496000,0.120058,0.072575,50.000000,40.000000,-15.200000,3.206667,-0.123500,0.000000,0.000000,0.000000,0.000000,3.165833,21474836.470000,21474836.470000,inf,40.000000,-15.800000,3.123333,-0.185000,0.992000,0.240115,0.145150,100.000000,0,0,45.000000,-12.200000,3.126667,-0.129000,0.000000,0.000000,0.000000,0.000000,0,0,40.000000,-12.000000,3.203333,-0.111000,0.000000,0.000000,0.000000,0.000000,0,0,40.000000,-18.400000,3.210000,-0.136000,0.000000,0.000000,0.000000,0.000000,0,0,inf,inf,inf
3546,42.500000,-11.100000,3.118333,-0.135500,0.557500,0.094000,0.081618,50.000000,40.000000,-9.400000,3.203333,-0.101500,0.000000,0.000000,0.000000,0.000000,3.160833,21474836.470000,21474836.470000,inf,40.000000,-11.000000,3.116667,-0.160000,1.115000,0.187999,0.163236,100.000000,0,0,45.000000,-11.200000,3.120000,-0.111000,0.000000,0.000000,0.000000,0.000000,0,0,40.000000,-9.600000,3.200000,-0.074000,0.000000,0.000000,0.000000,0.000000,0,0,40.000000,-9.200000,3.206667,-0.129000,0.000000,0.000000,0.000000,0.000000,0,0,inf,inf,inf
3657,42.500000,-0.400000,3.118333,0.000000,0.208000,0.036412,0.030507,0.000000,40.000000,22.800000,3.205000,0.037000,0.000000,0.000000,0.000000,0.000000,3.161667,21474836.470000,21474836.470000,inf,40.000000,11.400000,3.120000,0.000000,0.416000,0.072824,0.061013,0.000000,0,0,45.000000,-12.200000,3.116667,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,40.000000,0.000000,3.200000,0.006000,0.000000,0.000000,0.000000,0.000000,0,0,40.000000,45.600000,3.210000,0.068000,0.000000,0.000000,0.000000,0.000000,0,0,inf,inf,inf
3768,42.500000,5.700000,3.118333,-0.126500,0.551500,0.096374,0.080744,50.000000,40.000000,22.800000,3.205000,-0.101500,0.000000,0.000000,0.000000,0.000000,3.161667,21474836.470000,21474836.470000,inf,40.000000,11.400000,3.120000,-0.154000,1.103000,0.192748,0.161487,100.000000,0,0,45.000000,-0.000000,3.116667,-0.099000,0.000000,0.000000,0.000000,0.000000,0,0,40.000000,0.000000,3.200000,-0.074000,0.000000,0.000000,0.000000,0.000000,0,0,40.000000,45.600000,3.210000,-0.129000,0.000000,0.000000,0.000000,0.000000,0,0,inf,inf,inf
3882,42.500000,0.000000,3.118333,-0.132500,0.550000,0.000000,0.080518,0.000000,40.000000,0.000000,3.205000,-0.111000,0.000000,0.000000,0.000000,0.000000,3.161667,21474836.470000,21474836.470000,inf,40.000000,-0.000000,3.120000,-0.160000,1.100000,0.000000,0.161036,0.000000,0,0,45.000000,-0.000000,3.116667,-0.105000,0.000000,0.000000,0.000000,0.000000,0,0,40.000000,0.000000,3.200000,-0.080000,0.000000,0.000000,0.000000,0.000000,0,0,40.000000,0.000000,3.210000,-0.142000,0.000000,0.000000,0.000000,0.000000,0,0,inf,inf,inf
3993,42.500000,0.000000,3.118333,-0.129500,0.552000,0.000000,0.080811,0.000000,40.000000,0.000000,3.205000,-0.098500,0.000000,0.000000,0.000000,0.000000,3.161667,21474836.470000,21474836.470000,inf,40.000000,-0.000000,3.120000,-0.160000,1.104000,0.000000,0.161623,0.000000,0,0,45.000000,-0.000000,3.116667,-0.099000,0.000000,0.000000,0.000000,0.000000,0,0,40.000000,0.000000,3.200000,-0.068000,0.000000,0.000000,0.000000,0.000000,0,0,40.000000,0.000000,3.210000,-0.129000,0.000000,0.000000,0.000000,0.000000,0,0,inf,inf,inf
4105,42.500000,0.000000,3.118333,-0.126500,0.555500,0.000000,0.081330,0.000000,40.000000,0.000000,3.205000,-0.101500,0.000000,0.000000,0.000000,0.000000,3.161667,21474836.470000,21474836.470000,inf,40.000000,-0.000000,3.120000,-0.154000,1.111000,0.000000,0.162661,0.000000,0,0,45.000000,-0.000000,3.116667,-0.099000,0.000000,0.000000,0.000000,0.000000,0,0,40.000000,0.000000,3.200000,-0.074000,0.000000,0.000000,0.000000,0.000000,0,0,40.000000,0.000000,3.210000,-0.129000,0.000000,0.000000,0.000000,0.000000,0,0,inf,inf,inf
4216,42.500000,0.000000,3.118333,-0.126500,0.553000,0.000000,0.080964,0.000000,40.000000,0.000000,3.205000,-0.102000,0.000000,0.000000,0.000000,0.000000,3.161667,21474836.470000,21474836.470000,inf,40.000000,-0.000000,3.120000,-0.154000,1.106000,0.000000,0.161927,0.000000,0,0,45.000000,-0.000000,3.116667,-0.099000,0.000000,0.000000,0.000000,0.000000,0,0,40.000000,0.000000,3.200000,-0.068000,0.000000,0.000000,0.000000,0.000000,0,0,40.000000,0.000000,3.210000,-0.136000,0.000000,0.000000,0.000000,0.000000,0,0,inf,inf,inf
